Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
104,North Goa,Shripad Naik,श्रीपद येस्सो नायक,Bharatiya Janata Party,,,Goa
105,South Goa,Viriato Fernandes,विरियाटो फर्नांडीस ,Indian National Congress,,,Goa
106,Kachchh,Vinodbhai Chavda,विनोद चावड़ा,Bharatiya Janata Party,,,Gujurat
107,Banaskantha,Geniben Thakor,गेनीबेन ठाकोर,Indian National Congress,,,Gujurat
108,Patan,Bharatsinhji Dabhi,भरतसिंहजी डाभी,Bharatiya Janata Party,,,Gujurat
109,Mahesana,Haribhai Patel,हरीभाई पटेल,Bharatiya Janata Party,,,Gujurat
110,Sabarkantha,Shobhanaben Baraiya,शोभनाबेन महेन्द्रसिंह बारैया,Bharatiya Janata Party,,,Gujurat
111,Gandhinagar,Amit Shah,अमित शाह,Bharatiya Janata Party,,,Gujurat
112,Ahmedabad East,Hasmukh Patel,हंसमुखभाई पटेल,Bharatiya Janata Party,,,Gujurat
113,Ahmedabad West (SC),Dineshbhai Makwana,दिनेशभाई मकवाना,Bharatiya Janata Party,,,Gujurat
114,Surendranagar,Chandubhai Shihora,चंदुभाई शिहोरा,Bharatiya Janata Party,,,Gujurat
115,Rajkot,Parshottam Rupala,पुरुषोत्तम रूपाला,Bharatiya Janata Party,,,Gujurat
116,Porbandar,Mansukh Mandaviya,मनसुख मांडविया,Bharatiya Janata Party,,,Gujurat
117,Jamnagar,Poonamben Maadam,पूनमबेन मादाम,Bharatiya Janata Party,,,Gujurat
118,Junagadh,Rajesh Chudasama,चुडासमा राजेशभाई नारणभाई,Bharatiya Janata Party,,,Gujurat
119,Amreli,Bharatbhai Sutariya,भरतभाई मनुभाई सुतरीया,Bharatiya Janata Party,,,Gujurat
120,Bhavnagar,Nimuben Bambhaniya,निमूबेन बांभनिया,Bharatiya Janata Party,,,Gujurat
121,Anand,Mitesh Patel,मितेष पटेल (बकाभाई),Bharatiya Janata Party,,,Gujurat
122,Kheda,Devusinh Chauhan,देवुसिंह चौहाण,Bharatiya Janata Party,,,Gujurat
123,Panchmahal,Rajpalsinh Jadav,राजपालसिंह महेन्द्रसिंह जादव,Bharatiya Janata Party,,,Gujurat
124,Dahod (ST),Jasvantsinh Bhabhor,जसवंतसिंह सुमनभाई भाभोर,Bharatiya Janata Party,,,Gujurat
125,Vadodara,Hemang Joshi,हेमांग जोषी,Bharatiya Janata Party,,,Gujurat
126,Chhota Udaipur (ST),Jashubhai Rathva,जशुभाई भीलूभाई राठवा,Bharatiya Janata Party,,,Gujurat
127,Bharuch,Mansukhbhai Vasava,मनसुख भाई वसावा,Bharatiya Janata Party,,,Gujurat
128,Bardoli (ST),Parbhubhai Vasava,वसावा परभुभाई नागरभाई,Bharatiya Janata Party,,,Gujurat
129,Surat,Mukesh Dalal,मुकेशकुमार चंद्रकांत दलाल,Bharatiya Janata Party,,,Gujurat
130,Navsari,C. R. Patil,चंद्रकांत रघुनाथ पाटिल,Bharatiya Janata Party,,,Gujurat
